close,date,high,low,open,quoteVolume,volume,weightedAverage
0.0027702,2015-11-10 15:00:00,0.0028486,0.00271787,0.00274697,121504.709982,338.1336796,0.00278288
0.00272265,2015-11-10 19:00:00,0.002792,0.00269498,0.00277022,67701.2762814,184.60253155,0.00272672
0.00265966,2015-11-10 23:00:00,0.00271884,0.00258989,0.00270237,64358.6181951,170.01715435,0.00264171
0.0027672,2015-11-11 03:00:00,0.00279,0.0026599,0.0026599,50818.8699866,139.73596168,0.00274968
0.0027,2015-11-11 07:00:00,0.00278998,0.00269535,0.0027701,53156.3517338,146.54598175,0.00275688
0.00245599,2015-11-11 11:00:00,0.002805,0.00222502,0.00273668,334140.952748,847.87706404,0.00253748
0.00253892,2015-11-11 15:00:00,0.00258185,0.002305,0.00245599,143200.308684,353.09266243,0.00246572
0.002426,2015-11-11 19:00:00,0.00257484,0.002345,0.00252,72179.5713755,177.33763923,0.00245689
0.00264296,2015-11-11 23:00:00,0.0028,0.00239698,0.002426,162056.951779,427.79157317,0.00263976
0.00267901,2015-11-12 03:00:00,0.00277304,0.00262,0.00264316,56234.5497615,149.82583585,0.0026643
0.0025896,2015-11-12 07:00:00,0.00266863,0.00258,0.00264393,49946.2360865,130.82098372,0.00261923
0.00266797,2015-11-12 11:00:00,0.00270872,0.00255035,0.00258603,115210.340066,302.58144236,0.00262633
0.00267466,2015-11-12 15:00:00,0.002715,0.0026101,0.00267003,49274.705561,131.45779412,0.00266785
0.00267517,2015-11-12 19:00:00,0.00274855,0.00264125,0.00267443,31130.0646323,83.93954164,0.00269641
0.00260165,2015-11-12 23:00:00,0.00268064,0.00259655,0.00264493,24263.0387797,63.5455665,0.00261902
0.00265,2015-11-13 03:00:00,0.00266,0.00255045,0.00260165,56475.5791608,146.69077185,0.00259741
0.0026,2015-11-13 07:00:00,0.00271227,0.00259732,0.00263013,121473.031203,321.97096965,0.00265055
0.00262007,2015-11-13 11:00:00,0.0026599,0.00257994,0.00259494,23494.3621502,61.41941661,0.00261421
0.00268999,2015-11-13 15:00:00,0.002698,0.00260859,0.00260859,49864.3365567,133.00624929,0.00266736
0.00266916,2015-11-13 19:00:00,0.00269791,0.00263319,0.00268998,18836.701083,50.18361855,0.00266414
0.00269999,2015-11-13 23:00:00,0.00273,0.00263309,0.00266915,26579.797762,71.40683668,0.0026865
0.00268822,2015-11-14 03:00:00,0.00271153,0.00264011,0.00271153,19073.6494261,50.92864168,0.0026701
0.00268003,2015-11-14 07:00:00,0.0027,0.00265665,0.00268808,18245.4634657,49.01101459,0.0026862
0.00265513,2015-11-14 11:00:00,0.00268995,0.00262001,0.00268995,20639.7135318,54.82491784,0.00265628
0.00266874,2015-11-14 15:00:00,0.00269,0.00265202,0.00265512,18707.0259712,50.12338291,0.00267938
0.00266874,2015-11-14 19:00:00,0.0027117,0.00266874,0.002684,20675.4048902,55.42847958,0.00268088
0.0026869,2015-11-14 23:00:00,0.00269419,0.002664,0.0026843,5717.20002248,15.2953085,0.00267531
0.00274624,2015-11-15 03:00:00,0.002768,0.002655,0.00268515,33366.9385501,91.11550787,0.00273071
0.00283004,2015-11-15 07:00:00,0.00286109,0.00270511,0.00274633,56887.9246787,158.90333571,0.00279327
0.00283999,2015-11-15 11:00:00,0.00286075,0.00278371,0.0028527,26857.1101691,75.89945139,0.00282604
0.0028168,2015-11-15 15:00:00,0.0028803,0.00277266,0.00283202,34783.7600428,98.45095755,0.00283037
0.00291437,2015-11-15 19:00:00,0.00296999,0.0028,0.00282129,66812.4419856,193.18919882,0.00289151
0.00284356,2015-11-15 23:00:00,0.00298,0.00283999,0.0029694,62798.4127929,183.32874725,0.00291932
0.00284002,2015-11-16 03:00:00,0.00289587,0.00283922,0.00284393,18874.3424941,54.01976298,0.00286207
0.00280009,2015-11-16 07:00:00,0.00286342,0.00275011,0.00284002,51772.3277901,145.20406423,0.00280466
0.00279391,2015-11-16 11:00:00,0.00281803,0.00270359,0.00280935,53720.1960576,148.6506943,0.00276712
0.00280366,2015-11-16 15:00:00,0.00284838,0.00275459,0.00279391,36243.1285771,101.75369712,0.00280753
0.00272994,2015-11-16 19:00:00,0.00282514,0.00270176,0.00280366,34722.7052657,95.92328934,0.00276255
0.00275092,2015-11-16 23:00:00,0.00281988,0.00271001,0.00272994,30928.9686734,85.10666727,0.00275168
0.00284013,2015-11-17 03:00:00,0.002999,0.00275092,0.00276981,131389.88914,380.6254589,0.00289691
0.00288519,2015-11-17 07:00:00,0.00289,0.0028,0.00284013,86631.6223739,245.35558432,0.00283217
0.00292003,2015-11-17 11:00:00,0.00303012,0.00284002,0.00288537,122304.880988,358.7761077,0.00293345
0.00298004,2015-11-17 15:00:00,0.00310998,0.0029012,0.00291991,218577.589004,660.36281987,0.00302118
0.00291075,2015-11-17 19:00:00,0.00300201,0.00284653,0.00298003,84328.6215512,245.04545226,0.00290583
0.00283737,2015-11-17 23:00:00,0.0029105,0.00283,0.00288555,18838.0899892,53.64645587,0.00284776
0.00290069,2015-11-18 03:00:00,0.00295,0.00283756,0.00283756,57083.1837931,165.10509917,0.00289235
0.00295636,2015-11-18 07:00:00,0.00304285,0.00290216,0.00293922,116927.520285,349.32141703,0.0029875
0.00295925,2015-11-18 11:00:00,0.00305122,0.00292498,0.0029701,73396.4024033,219.06788805,0.00298472
0.0029698,2015-11-18 15:00:00,0.003,0.002935,0.00298894,21113.836714,62.64798072,0.00296715
0.00300288,2015-11-18 19:00:00,0.00303333,0.00293713,0.00296965,13605.475814,40.59030379,0.00298337
0.00298,2015-11-18 23:00:00,0.00303969,0.00297437,0.00300283,15921.9859136,47.83414136,0.00300428
0.00298678,2015-11-19 03:00:00,0.0030099,0.00292594,0.0029742,31737.9099689,93.90551198,0.00295878
0.00288005,2015-11-19 07:00:00,0.00298298,0.00285001,0.00296,60144.8650452,174.3879301,0.00289946
0.00293997,2015-11-19 11:00:00,0.00293997,0.00287402,0.00288331,12200.1452667,35.59848005,0.00291787
0.00292813,2015-11-19 15:00:00,0.00293997,0.00288999,0.00290515,20918.6724662,60.91900764,0.00291218
0.00287126,2015-11-19 19:00:00,0.00294999,0.0028,0.00293245,90900.2364948,260.96617751,0.0028709
0.00285821,2015-11-19 23:00:00,0.00288831,0.0028111,0.00287127,18893.0034953,53.73384549,0.00284411
0.00281851,2015-11-20 03:00:00,0.00287297,0.00280002,0.00287297,34095.4487176,96.46306424,0.0028292
0.00292936,2015-11-20 07:00:00,0.002955,0.00281719,0.00281851,49584.0701417,143.80178784,0.00290016
0.00293499,2015-11-20 11:00:00,0.00295044,0.0028765,0.00291026,32396.2599221,94.43555529,0.00291501
0.00289387,2015-11-20 15:00:00,0.00296,0.002842,0.0029314,37359.0081497,108.86371809,0.00291398
0.00291589,2015-11-20 19:00:00,0.00291892,0.00283581,0.00289268,21952.4026143,62.87622913,0.0028642
0.00288,2015-11-20 23:00:00,0.00291,0.00284356,0.00287549,4240.96769718,12.22327529,0.00288219
0.00291257,2015-11-21 03:00:00,0.00292706,0.00287232,0.00287233,13589.7683442,39.43034971,0.00290147
0.00290549,2015-11-21 07:00:00,0.00291849,0.0028755,0.0029,6216.74222887,17.97626968,0.00289159
0.003,2015-11-21 11:00:00,0.00305112,0.00289007,0.00289009,124298.034942,368.36046727,0.00296352
0.00298102,2015-11-21 15:00:00,0.00301294,0.0029537,0.0029989,49298.0141638,147.17880809,0.00298549
0.00296601,2015-11-21 19:00:00,0.00300973,0.00295598,0.00299998,8861.58390643,26.38311727,0.00297724
0.00299506,2015-11-21 23:00:00,0.00299506,0.00295621,0.00296601,11709.2549346,34.85222466,0.00297646
0.00296259,2015-11-22 03:00:00,0.00301299,0.00295512,0.00299506,23087.940461,68.65191223,0.00297349
0.00298399,2015-11-22 07:00:00,0.002991,0.00296257,0.00297093,11812.7239879,35.09654534,0.00297107
0.00302,2015-11-22 11:00:00,0.00305601,0.00297,0.00298397,56782.3980065,171.42369947,0.00301895
0.00299499,2015-11-22 15:00:00,0.003035,0.0029702,0.00303,12589.6170071,37.67230686,0.00299233
0.00298527,2015-11-22 19:00:00,0.00300001,0.00295558,0.00298015,9676.828299,28.91185842,0.00298774
0.00299558,2015-11-22 23:00:00,0.00302405,0.00298527,0.00298527,13429.3847715,40.28984329,0.00300012
0.0029499,2015-11-23 03:00:00,0.00301988,0.00294002,0.00299557,34506.0933244,102.31619429,0.00296516
0.00288516,2015-11-23 07:00:00,0.00299,0.00283233,0.0029499,95818.3351391,278.46525524,0.00290617
0.00293,2015-11-23 11:00:00,0.00293,0.00285118,0.00288512,56301.158388,162.70409193,0.00288988
0.00293723,2015-11-23 15:00:00,0.00294206,0.00289163,0.00291002,17808.2360597,52.12236772,0.00292686
0.00292716,2015-11-23 19:00:00,0.00294229,0.00290522,0.00293722,6938.96951661,20.30650568,0.00292644
0.00292602,2015-11-23 23:00:00,0.00297428,0.00292601,0.00292716,19819.5131192,58.35609023,0.00294437
0.00290344,2015-11-24 03:00:00,0.00292786,0.00287509,0.00292785,31083.6845034,90.02462459,0.0028962
0.00289998,2015-11-24 07:00:00,0.0029455,0.00288138,0.00290344,18512.3364092,53.81831318,0.00290715
0.00291001,2015-11-24 11:00:00,0.00292476,0.0028853,0.00289998,8085.30493101,23.5040494,0.002907
0.00279996,2015-11-24 15:00:00,0.00291001,0.0027201,0.00291001,148163.91018,417.25727948,0.00281618
0.00279845,2015-11-24 19:00:00,0.00279998,0.00266996,0.00279996,89168.9224146,244.41292461,0.00274101
0.00271,2015-11-24 23:00:00,0.00281,0.00268122,0.00279783,35415.1093379,96.33243911,0.00272009
0.00263612,2015-11-25 03:00:00,0.0027552,0.00263417,0.00271,62188.5291216,167.04753769,0.00268614
0.00273232,2015-11-25 07:00:00,0.00277988,0.00262627,0.00263733,41566.6026305,112.75820335,0.00271271
0.00267001,2015-11-25 11:00:00,0.002737,0.00259259,0.00273232,105349.597311,279.02723738,0.00264858
0.00262496,2015-11-25 15:00:00,0.00269021,0.00261127,0.00267596,30714.6196064,81.18025236,0.00264304
0.00257157,2015-11-25 19:00:00,0.0026925,0.00255007,0.00262496,68957.6408409,179.38416044,0.00260136
0.00251123,2015-11-25 23:00:00,0.00258555,0.00250657,0.00255502,34395.015626,87.22959986,0.00253611
0.002355,2015-11-26 03:00:00,0.00256,0.002257,0.00251501,240297.725361,574.85661076,0.00239226
0.00250999,2015-11-26 07:00:00,0.0025479,0.0023411,0.002355,113288.775242,279.93735578,0.002471
0.00251669,2015-11-26 11:00:00,0.002645,0.002478,0.00250999,96348.0643263,245.7770598,0.00255092
0.00249996,2015-11-26 15:00:00,0.0025426,0.00246616,0.00251669,30350.2303134,75.80960156,0.00249782
0.00252,2015-11-26 19:00:00,0.00252,0.00248,0.00249998,13039.4714395,32.56898776,0.00249772
0.00249005,2015-11-26 23:00:00,0.00252,0.00247831,0.00252,8885.10278393,22.15002406,0.00249293
0.00242003,2015-11-27 03:00:00,0.00252395,0.00233101,0.00249005,75785.0292294,183.46619688,0.00242087
0.00250591,2015-11-27 07:00:00,0.0025096,0.00237282,0.00242004,44821.2761313,110.17735964,0.00245814
0.00246,2015-11-27 11:00:00,0.00250587,0.00242767,0.00250587,31057.2652511,76.44597821,0.00246145
0.00243999,2015-11-27 15:00:00,0.002489,0.00238681,0.0024676,24995.6378847,61.16555164,0.00244704
0.00247301,2015-11-27 19:00:00,0.00260006,0.0024299,0.00243999,122405.664675,306.62484995,0.00250498
0.00243841,2015-11-27 23:00:00,0.0024955,0.002438,0.00247303,11933.5248747,29.29789444,0.00245509
0.0025159,2015-11-28 03:00:00,0.00258573,0.00243859,0.00243859,37392.2275581,94.86273964,0.00253696
0.00257627,2015-11-28 07:00:00,0.00264678,0.00252037,0.0025299,41968.5438861,109.47331573,0.00260846
0.002599,2015-11-28 11:00:00,0.00264218,0.00254865,0.00257628,23183.9393145,60.21081548,0.00259709
0.00255151,2015-11-28 15:00:00,0.002612,0.00253251,0.002599,14682.6151288,37.78102149,0.00257318
0.002539,2015-11-28 19:00:00,0.00255982,0.00248175,0.00255151,29950.0531015,75.25787843,0.00251277
0.00250689,2015-11-28 23:00:00,0.00254998,0.00250096,0.002539,2674.52995421,6.74754924,0.00252289
0.00238709,2015-11-29 03:00:00,0.00252448,0.00236225,0.00250764,81990.9828697,199.52007772,0.00243343
0.00238,2015-11-29 07:00:00,0.00247,0.00236805,0.00238709,75416.6855256,181.85845299,0.00241138
0.00238002,2015-11-29 11:00:00,0.00241997,0.00234386,0.00238,27343.6945692,64.8370318,0.00237118
0.00234324,2015-11-29 15:00:00,0.0024592,0.00233101,0.00238072,84060.4613079,199.64634245,0.00237503
0.0023,2015-11-29 19:00:00,0.00240147,0.00222999,0.002358,148745.285446,343.54850252,0.00230964
0.00226391,2015-11-29 23:00:00,0.00231365,0.0022199,0.0023,105832.931277,239.16179849,0.0022598
0.00227024,2015-11-30 03:00:00,0.00234335,0.0022311,0.00226384,62969.6979068,144.59255743,0.00229622
0.00229986,2015-11-30 07:00:00,0.00239244,0.00225015,0.00227024,97899.4838934,227.80522377,0.00232692
0.00232349,2015-11-30 11:00:00,0.0023683,0.00228925,0.00229981,38239.6485156,89.7071302,0.00234591
0.00230693,2015-11-30 15:00:00,0.00236514,0.00229717,0.00234711,54684.0558402,127.08417952,0.00232397
0.00230698,2015-11-30 19:00:00,0.00234464,0.00228703,0.00230721,13299.5213052,30.72134576,0.00230995
0.002281,2015-11-30 23:00:00,0.00234504,0.002281,0.00230701,15322.6733492,35.20856109,0.0022978
0.0024,2015-12-01 03:00:00,0.00249152,0.00228105,0.002297,137586.450531,330.82723608,0.0024045
0.0023927,2015-12-01 07:00:00,0.00241427,0.00236961,0.0024,19506.6326932,46.53005244,0.00238534
0.0024269,2015-12-01 11:00:00,0.00247199,0.00237122,0.0023925,31505.3230876,76.83499689,0.00243879
0.0024,2015-12-01 15:00:00,0.00244952,0.00236541,0.00244377,28233.4475987,67.83236228,0.00240255
0.002405,2015-12-01 19:00:00,0.0024749,0.00237506,0.0024,61774.9340601,149.71860584,0.00242361
0.00240268,2015-12-01 23:00:00,0.00250608,0.00239,0.002405,52096.5444402,128.26842529,0.00246212
0.00239999,2015-12-02 03:00:00,0.0024367,0.00238428,0.00240279,16582.2286758,39.84431457,0.00240283
0.00234999,2015-12-02 07:00:00,0.00240099,0.0023111,0.00239999,52466.4441053,123.39478988,0.00235188
0.00230007,2015-12-02 11:00:00,0.00236997,0.00228501,0.00234501,40272.9624799,93.29873926,0.00231665
0.00228301,2015-12-02 15:00:00,0.00233404,0.00226034,0.00231973,23680.8074486,54.20382495,0.00228893
0.002198,2015-12-02 19:00:00,0.00230936,0.00211,0.002287,133161.66788,293.88838442,0.002207
0.00220169,2015-12-02 23:00:00,0.00228,0.00216721,0.002198,64300.4147598,141.94137614,0.00220747
0.00223943,2015-12-03 03:00:00,0.00228854,0.00212,0.0022017,62609.9923571,136.319699,0.00217728
0.00222873,2015-12-03 07:00:00,0.00228,0.0021915,0.00223908,22558.8192627,50.44919578,0.00223634
0.00228434,2015-12-03 11:00:00,0.00230579,0.00222874,0.00222874,20242.3785872,46.01957981,0.00227342
0.00223877,2015-12-03 15:00:00,0.0023,0.00223022,0.00228426,12645.6343389,28.61391731,0.00226275
0.00229851,2015-12-03 19:00:00,0.00231896,0.00222873,0.00223877,22393.7743461,51.025735,0.00227856
0.002261,2015-12-03 23:00:00,0.0023,0.00226,0.00226918,12908.1601638,29.25172209,0.00226614
0.00229,2015-12-04 03:00:00,0.0023071,0.002253,0.002261,14375.5951572,32.84008214,0.00228443
0.00222666,2015-12-04 07:00:00,0.00229594,0.00222599,0.00229,32021.219263,72.0721845,0.00225076
0.00222004,2015-12-04 11:00:00,0.00226691,0.0022,0.00222599,29701.1384763,65.89857195,0.00221872
0.00230325,2015-12-04 15:00:00,0.00239999,0.00221018,0.00222,83019.6238116,193.16411798,0.00232672
0.00224653,2015-12-04 19:00:00,0.00234,0.00222501,0.00230428,14174.0829869,32.0582671,0.00226175
0.00224001,2015-12-04 23:00:00,0.00227186,0.00222875,0.00222875,6739.28722691,15.18136515,0.00225266
0.002259,2015-12-05 03:00:00,0.00228806,0.00223115,0.00224999,16593.136605,37.3659324,0.00225189
0.0022592,2015-12-05 07:00:00,0.002287,0.00224,0.002255,17453.2815931,39.35759777,0.00225502
0.00226125,2015-12-05 11:00:00,0.0022879,0.00225,0.0022592,8510.15400478,19.29972765,0.00226784
0.00219544,2015-12-05 15:00:00,0.00230349,0.00216934,0.002265,86702.5853642,193.79535805,0.00223517
0.00217177,2015-12-05 19:00:00,0.00223831,0.002151,0.00219542,81039.4788982,177.12844592,0.0021857
0.00218123,2015-12-05 23:00:00,0.00223636,0.00213,0.00220651,48867.6144101,106.53424101,0.00218005
0.00217003,2015-12-06 03:00:00,0.00221754,0.00212533,0.00218552,36592.3751367,79.54160077,0.00217372
0.002195,2015-12-06 07:00:00,0.0022015,0.00216412,0.00217021,15906.2924971,34.87465497,0.0021925
0.00212002,2015-12-06 11:00:00,0.00219998,0.00207485,0.00219747,76644.4713495,162.96520336,0.00212624
0.00211985,2015-12-06 15:00:00,0.00215999,0.002082,0.00212001,35001.1398919,73.95451389,0.00211291
0.00212998,2015-12-06 19:00:00,0.00218,0.00209021,0.00213999,39218.9808392,83.62321602,0.00213221
0.00208007,2015-12-06 23:00:00,0.00219392,0.00207376,0.00212998,54185.3553055,114.12105313,0.00210612
0.00204003,2015-12-07 03:00:00,0.00212087,0.0020345,0.00208007,46965.3267786,97.27628381,0.00207123
0.00198855,2015-12-07 07:00:00,0.002052,0.00196,0.00204003,103628.170834,207.45026934,0.00200187
0.0020245,2015-12-07 11:00:00,0.0020798,0.001987,0.00199997,65733.9214142,133.66905578,0.00203348
